ID,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Alcohol
1,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,drink a lot
2,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,drink a lot
3,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,drink a lot
4,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,drink a lot
5,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,social drinker
6,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,never
7,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,social drinker
8,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,drink a lot
9,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,NA,1,1,1,social drinker
10,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,drink a lot
11,5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,social drinker
12,5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,never
13,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,social drinker
14,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,social drinker
15,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,social drinker
16,1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,social drinker
17,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,drink a lot
18,5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,social drinker
19,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,social drinker
20,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,drink a lot
21,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,never
22,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,social drinker
23,5,3,3,2,3,3,3,4,NA,1,2,2,1,1,3,2,3,3,2,social drinker
24,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,social drinker
25,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,never
26,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,social drinker
27,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,social drinker
28,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,social drinker
29,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,social drinker
30,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,social drinker
31,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,drink a lot
32,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,social drinker
33,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,social drinker
34,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,social drinker
35,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,social drinker
36,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,social drinker
37,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,social drinker
38,5,5,1,1,1,5,1,2,3,5,2,1,2,2,2,1,1,1,1,social drinker
39,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,social drinker
40,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,never
41,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,social drinker
42,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,social drinker
43,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,never
44,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,drink a lot
45,4,4,4,2,1,3,3,4,4,1,1,3,1,3,3,4,5,4,3,social drinker
46,5,4,5,2,2,4,3,5,4,1,2,3,3,3,5,1,4,3,4,social drinker
47,5,3,4,3,4,1,5,5,5,3,2,5,2,3,5,4,5,2,2,social drinker
48,5,3,3,1,1,2,3,4,4,2,2,1,3,3,NA,4,3,2,3,social drinker
49,5,4,3,1,1,1,4,3,2,1,2,5,5,2,2,2,4,2,1,social drinker
50,5,4,2,1,2,2,2,3,5,3,5,3,2,2,4,2,1,2,1,social drinker
51,4,3,2,4,2,5,5,5,5,2,4,4,4,3,4,4,5,1,2,social drinker
52,5,3,3,3,1,4,3,5,4,3,2,2,4,4,4,3,5,3,2,never
53,5,3,5,5,5,5,5,5,5,4,2,5,5,5,5,2,5,2,5,social drinker
54,5,3,4,4,3,4,5,4,3,2,2,3,3,3,3,3,5,2,5,social drinker
55,5,3,5,5,3,5,5,5,5,4,3,3,3,4,4,3,5,4,5,social drinker
56,5,3,4,2,2,4,3,4,3,3,2,4,3,3,4,4,4,5,3,drink a lot
57,5,3,1,2,3,4,3,4,5,1,4,2,3,4,5,5,1,1,4,drink a lot
58,5,3,3,3,2,3,2,2,5,2,2,2,2,4,5,5,1,1,2,drink a lot
59,5,5,5,3,2,3,2,5,1,1,1,2,2,1,2,2,3,3,1,social drinker
60,5,4,2,1,2,3,1,3,4,3,5,3,3,4,5,5,1,4,3,drink a lot
61,5,2,2,2,2,4,4,4,4,1,3,2,3,3,4,4,2,1,3,social drinker
62,5,3,5,1,2,4,3,4,4,1,2,3,2,3,3,3,4,4,3,social drinker
63,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,social drinker
64,5,4,NA,1,3,2,1,2,3,1,NA,5,4,3,3,1,3,5,1,social drinker
65,5,3,3,1,1,1,4,4,5,1,3,2,1,2,2,1,3,2,2,social drinker
66,4,3,3,1,2,2,1,3,3,3,2,4,2,2,2,1,2,4,2,social drinker
67,4,3,4,2,2,2,4,5,3,4,3,3,3,3,2,2,4,5,1,social drinker
68,3,4,4,3,2,2,4,5,1,1,1,4,3,4,4,1,5,1,1,never
69,5,5,3,2,1,2,4,3,5,5,5,1,5,4,4,3,2,4,2,drink a lot
70,5,4,1,1,1,1,4,5,4,1,1,1,1,1,2,1,4,1,2,social drinker
71,5,3,5,2,2,2,3,5,3,1,1,5,2,3,1,1,2,3,1,social drinker
72,4,3,2,3,1,4,1,4,1,1,1,4,4,1,2,3,1,3,1,never
73,5,3,2,2,2,2,5,5,5,2,4,4,2,2,3,3,5,1,1,social drinker
74,5,3,3,2,2,2,1,5,2,1,2,5,2,2,2,2,4,3,1,social drinker
75,5,3,2,1,4,5,3,2,1,1,1,5,4,1,1,1,1,2,4,social drinker
76,5,3,3,4,4,3,1,1,5,4,4,3,5,4,5,4,4,1,2,drink a lot
77,4,4,4,1,1,2,2,2,2,1,NA,4,1,1,2,1,1,1,1,social drinker
78,5,3,5,1,2,2,2,5,4,2,1,4,2,2,2,2,5,5,1,social drinker
79,4,4,4,2,4,1,5,5,3,1,1,4,5,5,5,3,5,4,2,never
80,5,3,4,4,4,3,4,5,5,2,2,5,3,3,3,3,4,4,4,social drinker
81,5,3,4,2,2,2,3,4,5,2,3,4,4,3,4,2,5,3,2,social drinker
82,5,4,4,1,2,3,3,5,4,2,3,4,4,3,4,3,5,3,3,social drinker
83,5,5,1,3,1,3,2,1,5,5,4,1,1,2,2,5,1,1,3,social drinker
84,5,3,5,1,2,4,4,5,5,3,1,3,2,4,3,1,5,5,3,social drinker
85,5,3,1,1,4,5,5,1,5,5,5,4,4,5,5,4,3,1,5,drink a lot
86,5,2,3,3,5,5,3,3,4,4,1,1,1,2,3,3,2,4,3,social drinker
87,4,3,4,3,3,3,2,4,5,3,3,4,3,3,3,3,2,3,3,social drinker
88,5,4,4,1,2,2,4,4,5,2,4,3,5,3,4,4,5,2,1,social drinker
89,5,5,5,1,1,5,2,5,5,1,1,1,1,5,5,4,5,5,1,drink a lot
