ID,supVar,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Age,Gender,Village...town,Education
1,A,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,20,female,village,college/bachelor degree
2,A,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,19,female,city,college/bachelor degree
3,A,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,20,female,city,secondary school
4,A,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,22,female,city,college/bachelor degree
5,A,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,20,female,village,secondary school
6,A,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,20,male,city,secondary school
7,A,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,20,female,village,secondary school
8,A,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,19,male,city,college/bachelor degree
9,A,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,NA,1,1,1,18,female,city,secondary school
10,A,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,19,female,city,secondary school
11,A,5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,19,female,city,secondary school
12,A,5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,17,female,city,primary school
13,A,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,24,female,city,college/bachelor degree
14,A,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,19,female,city,secondary school
15,A,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,22,female,city,college/bachelor degree
16,A,1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,18,male,city,secondary school
