,Fr.Info.J1,Fr.Info.J2,Fr.Info.J3,Fr.Info.J4,Fr.Info.J5,Fr.Info.J6,Fr.Info.J7,Fr.Info.J8,Fr.Info.J9,Fr.Info.J10,Fr.Info.J11,Fr.Info.J12,Fr.No.Info.J13,Fr.No.Info.J14,Fr.No.Info.J15,Fr.No.Info.J16,Fr.No.Info.J17,Fr.No.Info.J18,Fr.No.Info.J19,Fr.No.Info.J20,Fr.No.Info.J21,Fr.No.Info.J22,Fr.No.Info.J23,Fr.No.Info.J24,Fr.No.Info.J25,SA.Info.J26,SA.Info.J27,SA.Info.J28,SA.Info.J29,SA.Info.J30,SA.Info.J31,SA.Info.J32,SA.Info.J33,SA.Info.J34,SA.Info.J35,SA.Info.J36,SA.Info.J37,SA.Info.J38,SA.No.Info.J39,SA.No.Info.J40,SA.No.Info.J41,SA.No.Info.J42,SA.No.Info.J43,SA.No.Info.J44,SA.No.Info.J45,SA.No.Info.J46
FCAR,2,3,3,2,2,2,1,2,1,3,1,1,2,1,1,3,3,2,2,1,3,1,3,2,4,4,5,1,1,6,3,1,8,1,3,3,2,2,1,3,3,6,4,1,3,3
SRUD,2,4,3,1,2,2,1,3,1,2,1,1,4,2,1,4,2,3,2,2,3,1,2,3,5,4,1,1,2,4,4,2,5,2,2,4,5,5,3,1,5,4,3,4,3,1
FBAU,4,2,3,2,3,3,1,3,1,3,3,4,4,3,2,5,2,1,1,2,3,2,4,3,5,2,2,3,4,1,3,3,4,1,4,6,4,4,2,4,3,5,5,4,4,4
FROC,2,3,3,3,2,2,1,2,2,3,3,3,1,3,2,6,3,3,1,1,2,1,3,2,1,3,1,1,3,7,1,1,7,2,3,5,2,2,2,4,1,6,6,1,1,3
SFED,2,3,2,3,1,2,4,3,2,2,3,3,4,1,2,6,1,1,1,2,1,1,1,4,1,1,5,5,1,3,2,3,6,2,3,8,3,4,2,5,4,5,1,2,1,5
SREY,3,1,5,3,1,4,2,3,3,1,1,5,1,1,1,5,4,1,4,1,2,2,4,3,3,4,5,1,2,1,4,2,2,2,2,7,4,1,1,3,1,1,3,3,3,2
SKLE,2,2,1,1,3,3,3,1,3,1,3,1,4,3,1,3,3,1,2,1,2,1,1,4,1,2,4,4,3,6,1,2,2,2,1,2,3,3,3,2,6,5,4,3,2,3
FCLL,2,3,1,1,3,3,3,2,1,1,1,3,3,2,2,5,3,3,3,2,1,1,2,1,2,4,5,1,3,5,1,2,4,1,2,1,1,4,2,1,3,6,2,2,1,4
FCLP,1,4,1,2,3,3,1,1,1,1,1,5,3,2,2,2,1,1,4,1,1,2,4,2,1,3,3,5,4,2,5,3,5,2,2,3,1,1,3,2,7,8,1,1,3,4
SRAD,1,1,4,4,3,4,2,3,1,5,2,2,2,3,2,1,3,4,3,1,2,2,1,5,5,2,1,1,2,4,4,2,1,2,5,3,2,3,1,4,4,1,3,3,1,2
SRAA,4,3,3,2,1,2,1,1,2,5,2,2,2,3,2,4,2,2,3,2,1,2,4,4,5,3,1,6,1,3,4,3,6,2,5,2,1,4,2,5,5,7,3,4,2,1
FROU,1,4,1,3,2,1,4,2,3,2,1,4,4,2,1,3,1,2,2,1,1,2,4,1,5,3,5,2,4,7,4,3,3,1,3,7,5,5,3,2,7,3,6,4,3,4
FHUE,2,3,2,1,2,3,3,3,2,4,2,2,1,1,1,2,2,1,3,1,2,1,3,2,4,3,3,1,2,2,1,1,3,1,1,1,3,1,2,2,2,2,7,3,4,4
SBEA,1,4,2,3,1,3,1,2,3,4,3,3,2,2,1,6,1,1,1,1,3,1,1,5,2,3,4,7,1,6,4,1,2,2,2,4,4,2,1,3,1,7,4,1,2,3
